AÑO,PROGRAMA,SUPERFICIE_ACUMULADA_(HECTAREAS)
2000,PSA,0
2001,PSA,0
2002,PSA,0
2003,PSA,126818
2004,PSA,342627
2005,PSA,538647
2006,PSA,684540
2007,PSA,1294951
2008,PSA,1752428.22
2009,PSA,2251957.91
2010,PSA,2760671.06
2011,PSA,3224517.91
2012,PSA,3783038.91
2013,PSA,4251107.05
2014,PSA,4647889.58
2015,PSA,5066779.46
2016,PSA,5783302.7
2017,PSA,6018233.27
2000,PROCYMAF,166115.00
2001,PROCYMAF,189370.00
2002,PROCYMAF,231992.00
2003,PROCYMAF,271731.00
2004,PROCYMAF,311159.00
2005,PROCYMAF,352496.00
2006,PROCYMAF,432067.00
2007,PROCYMAF,547073.00
2008,PROCYMAF,766459.00
2009,PROCYMAF,1066223.00
2010,PROCYMAF,1320164.00
2011,PROCYMAF,1320164.00
2012,PROCYMAF,1320164.00
2013,PROCYMAF,1320164.00
2014,PROCYMAF,1320163.67
2015,PROCYMAF,1320163.67
2016,PROCYMAF,1320163.67
2017,PROCYMAF,1320163.67
2000,RAMSAR,1103975.65
2001,RAMSAR,1103975.65
2002,RAMSAR,1103975.65
2003,RAMSAR,1881789.78
2004,RAMSAR,5101458.376
2005,RAMSAR,5251232.926
2006,RAMSAR,5263912.192
2007,RAMSAR,5317878.172
2008,RAMSAR,8118862.202
2009,RAMSAR,8382069.902
2010,RAMSAR,8579801.818
2011,RAMSAR,8588171.368
2012,RAMSAR,8636259.318
2013,RAMSAR,8643581.255
2014,RAMSAR,8643581.255
2015,RAMSAR,8643581.255
2016,RAMSAR,8643581.255
2017,RAMSAR,8643581.255
2000,PRODEFOR,3000000
2001,PRODEFOR,5736808
2002,PRODEFOR,7303369
2003,PRODEFOR,8590369.813
2004,PRODEFOR,10995591.66
2005,PRODEFOR,12218524.64
2006,PRODEFOR,14451129.89
2007,PRODEFOR,16450912.89
2008,PRODEFOR,18126143.48
2009,PRODEFOR,19968721.17
2010,PRODEFOR,21093614.51
2011,PRODEFOR,22067708.8
2012,PRODEFOR,22822684.6
2013,PRODEFOR,24244190.49
2014,PRODEFOR,25968434.87
2015,PRODEFOR,26899809.15
2016,PRODEFOR,27990084.5
2017,PRODEFOR,28567711.54
2000,ANP terrestres,12956334.65
2001,ANP terrestres,13393320.32
2002,ANP terrestres,17583346.42
2003,ANP terrestres,17950766.56
2004,ANP terrestres,17950766.56
2005,ANP terrestres,18818547.89
2006,ANP terrestres,18818547.89
2007,ANP terrestres,19498577.8
2008,ANP terrestres,19552876.11
2009,ANP terrestres,20568619.07
2010,ANP terrestres,20702473.46
2011,ANP terrestres,20702473.46
2012,ANP terrestres,20709538.44
2013,ANP terrestres,20763129.12
2014,ANP terrestres,20763129.12
2015,ANP terrestres,20772255.48
2016,ANP terrestres,21179872.82
2017,ANP terrestres,21380773.48
2000,ANP marinas,2902652.92
2001,ANP marinas,2902652.92
2002,ANP marinas,2932691.17
2003,ANP marinas,2932691.17
2004,ANP marinas,2932691.17
2005,ANP marinas,3443140.06
2006,ANP marinas,3443140.06
2007,ANP marinas,3879268.57
2008,ANP marinas,3879268.57
2009,ANP marinas,4201392.67
2010,ANP marinas,4201392.67
2011,ANP marinas,4201392.67
2012,ANP marinas,4234681.83
2013,ANP marinas,4234681.83
2014,ANP marinas,4234681.83
2015,ANP marinas,4234681.83
2016,ANP marinas,54665351.23
2017,ANP marinas,69458613.13
2000,UMA,15086917
2001,UMA,16781675
2002,UMA,17863208
2003,UMA,19671961
2004,UMA,21066923
2005,UMA,22465215
2006,UMA,24710287
2007,UMA,26298276
2008,UMA,27933562
2009,UMA,29903120
2010,UMA,31466218
2011,UMA,32566770
2012,UMA,33178921
2013,UMA,33658065
2014,UMA,33867324
2015,UMA,34244654
2016,UMA,34477629
2017,UMA,34716869
