AÑO,REGION_HIDROLOGICO_-_ADMINISTRATIVA,ACUIFEROS_TOTALES_(NUMERO),SOBREEXPLOTADOS_(NUMERO),CON_INTRUSION_MARINA_(NUMERO),CON_SALINIZACION_DE_SUELOS_Y_AGUAS_SUBTERRANEAS_SALOBRES_(NUMERO)
2003,I Peninsula de Baja California,88,8,9,2
2004,I Peninsula de Baja California,88,7,9,4
2005,I Peninsula de Baja California,88,7,9,4
2006,I Peninsula de Baja California,88,7,9,4
2007,I Peninsula de Baja California,88,7,9,4
2008,I Peninsula de Baja California,88,8,9,5
2009,I Peninsula de Baja California,88,8,9,5
2010,I Peninsula de Baja California,88,13,10,5
2011,I Peninsula de Baja California,88,13,10,5
2012,I Peninsula de Baja California,88,15,10,5
2013,I Peninsula de Baja California,88,15,10,4
2014,I Peninsula de Baja California,88,15,10,4
2015,I Peninsula de Baja California,88,14,11,5
2016,I Peninsula de Baja California,88,14,11,5
2017,I Peninsula de Baja California,88,14,11,5
2018,I Peninsula de Baja California,88,18,11,5
2003,II Noroeste,62,17,5,0
2004,II Noroeste,62,18,5,0
2005,II Noroeste,62,18,5,0
2006,II Noroeste,62,15,5,0
2007,II Noroeste,62,13,5,0
2008,II Noroeste,62,13,5,0
2009,II Noroeste,62,13,5,0
2010,II Noroeste,62,10,5,0
2011,II Noroeste,62,10,5,0
2012,II Noroeste,62,10,5,0
2013,II Noroeste,62,10,5,0
2014,II Noroeste,62,10,5,0
2015,II Noroeste,62,10,5,0
2016,II Noroeste,62,10,5,0
2017,II Noroeste,62,10,5,0
2018,II Noroeste,62,10,5,0
2003,III Pacifico Norte,24,1,0,0
2004,III Pacifico Norte,24,1,0,0
2005,III Pacifico Norte,24,1,0,0
2006,III Pacifico Norte,24,1,0,0
2007,III Pacifico Norte,24,2,0,0
2008,III Pacifico Norte,24,2,0,0
2009,III Pacifico Norte,24,2,0,0
2010,III Pacifico Norte,24,2,0,0
2011,III Pacifico Norte,24,2,0,0
2012,III Pacifico Norte,24,2,0,0
2013,III Pacifico Norte,24,2,0,0
2014,III Pacifico Norte,24,2,0,0
2015,III Pacifico Norte,24,2,0,0
2016,III Pacifico Norte,24,2,0,0
2017,III Pacifico Norte,24,2,0,0
2018,III Pacifico Norte,24,5,0,0
2003,IV Balsas,45,2,0,0
2004,IV Balsas,45,2,0,0
2005,IV Balsas,45,2,0,0
2006,IV Balsas,45,2,0,0
2007,IV Balsas,45,2,0,0
2008,IV Balsas,45,2,0,0
2009,IV Balsas,45,2,0,0
2010,IV Balsas,45,2,0,0
2011,IV Balsas,45,2,0,0
2012,IV Balsas,45,1,0,0
2013,IV Balsas,45,1,0,0
2014,IV Balsas,45,1,0,0
2015,IV Balsas,45,1,0,0
2016,IV Balsas,45,1,0,0
2017,IV Balsas,45,1,0,0
2018,IV Balsas,45,1,0,0
2003,IX Golfo Norte,40,3,0,0
2004,IX Golfo Norte,40,3,0,0
2005,IX Golfo Norte,40,3,0,0
2006,IX Golfo Norte,40,2,0,0
2007,IX Golfo Norte,40,2,0,0
2008,IX Golfo Norte,40,2,0,0
2009,IX Golfo Norte,40,2,0,0
