Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Mexico,MEX,2018,Agricultural land (% of land area),AG.LND.AGRI.ZS,54.9864965662697
Mexico,MEX,2017,Agricultural land (% of land area),AG.LND.AGRI.ZS,55.024048972453
Mexico,MEX,2016,Agricultural land (% of land area),AG.LND.AGRI.ZS,54.0096195889812
Mexico,MEX,2015,Agricultural land (% of land area),AG.LND.AGRI.ZS,53.0939581779367
Mexico,MEX,2014,Agricultural land (% of land area),AG.LND.AGRI.ZS,52.1654363538157
Mexico,MEX,2013,Agricultural land (% of land area),AG.LND.AGRI.ZS,52.2575169114432
Mexico,MEX,2012,Agricultural land (% of land area),AG.LND.AGRI.ZS,52.5414748321716
Mexico,MEX,2011,Agricultural land (% of land area),AG.LND.AGRI.ZS,53.0224542812315
Mexico,MEX,2010,Agricultural land (% of land area),AG.LND.AGRI.ZS,52.9046528974511
Mexico,MEX,2009,Agricultural land (% of land area),AG.LND.AGRI.ZS,53.1736927390108
Mexico,MEX,2008,Agricultural land (% of land area),AG.LND.AGRI.ZS,53.4005504256797
Mexico,MEX,2007,Agricultural land (% of land area),AG.LND.AGRI.ZS,54.8882430103655
Mexico,MEX,2006,Agricultural land (% of land area),AG.LND.AGRI.ZS,54.8213688623679
Mexico,MEX,2005,Agricultural land (% of land area),AG.LND.AGRI.ZS,54.8213688623679
Mexico,MEX,2004,Agricultural land (% of land area),AG.LND.AGRI.ZS,54.8213688623679
Mexico,MEX,2003,Agricultural land (% of land area),AG.LND.AGRI.ZS,54.8110805319067
Mexico,MEX,2002,Agricultural land (% of land area),AG.LND.AGRI.ZS,54.8110805319067
Mexico,MEX,2001,Agricultural land (% of land area),AG.LND.AGRI.ZS,54.8110805319067
Mexico,MEX,2000,Agricultural land (% of land area),AG.LND.AGRI.ZS,54.6979088968338
Mexico,MEX,1999,Agricultural land (% of land area),AG.LND.AGRI.ZS,54.6958512307415
Mexico,MEX,1998,Agricultural land (% of land area),AG.LND.AGRI.ZS,54.6953368142185
Mexico,MEX,1997,Agricultural land (% of land area),AG.LND.AGRI.ZS,54.6876205663726
Mexico,MEX,1996,Agricultural land (% of land area),AG.LND.AGRI.ZS,54.6876205663726
Mexico,MEX,1995,Agricultural land (% of land area),AG.LND.AGRI.ZS,54.6284626662208
Mexico,MEX,1994,Agricultural land (% of land area),AG.LND.AGRI.ZS,54.6258905836055
Mexico,MEX,1993,Agricultural land (% of land area),AG.LND.AGRI.ZS,54.620746418375
Mexico,MEX,1992,Agricultural land (% of land area),AG.LND.AGRI.ZS,54.6192031688058
Mexico,MEX,1991,Agricultural land (% of land area),AG.LND.AGRI.ZS,54.6073715887754
Mexico,MEX,1990,Agricultural land (% of land area),AG.LND.AGRI.ZS,54.0914118161475
Mexico,MEX,1989,Agricultural land (% of land area),AG.LND.AGRI.ZS,53.5250392242599
Mexico,MEX,1988,Agricultural land (% of land area),AG.LND.AGRI.ZS,53.0111371177242
Mexico,MEX,1987,Agricultural land (% of land area),AG.LND.AGRI.ZS,52.7534144396718
Mexico,MEX,1986,Agricultural land (% of land area),AG.LND.AGRI.ZS,52.1829265155997
Mexico,MEX,1985,Agricultural land (% of land area),AG.LND.AGRI.ZS,52.1798400164613
Mexico,MEX,1984,Agricultural land (% of land area),AG.LND.AGRI.ZS,51.9720157411456
Mexico,MEX,1983,Agricultural land (% of land area),AG.LND.AGRI.ZS,51.966357159392
Mexico,MEX,1982,Agricultural land (% of land area),AG.LND.AGRI.ZS,50.5748604645181
