Año,"Nombre del estudio, investigación o analísis contratado",Denominación de la empresa contratada /persona física,Monto total de los recursos públicos,Área responsable de la información,Hipervinculo al estudio o investigación
2007, Evaluación de las poblaciones silvestres de pepino de mar (isostichopus fuscus),"Consultores Acuícola y Pesquero, S.C.","$240,000.00",Dirección General de Vida Silvestre,https://www.semarnat.gob.mx/archivosanteriores/transparencia/Documents/EVALUACION%20POBLACIONES%20SILVESTRES%20PEPINO%20MAR.pdf
2007, Evaluación del impacto de los subsidios otorgados al programa de desarrollo institucional ambiental 2007,Instituto Politécnico Nacional,"$650,000.00",Dirección General de política Ambiental e Integración Regional y Sectorial,https://www.semarnat.gob.mx/archivosanteriores/transparencia/Documents/IMPACTO%20DE%20LOS%20SUBSIDIOS%20AL%20PDA%202007.pdf
2008, Consultoría para la difusión de las actividades que realiza la UCPAST,Eduardo Limón Aguirre-Berlanga,"$270,000.00",Unidad Coordinadora de Participación Social y Transparencia,https://www.semarnat.gob.mx/archivosanteriores/transparencia/Documents/UCPAST-CONSULTORIA%20EDUARDO%20LIMON%20AGUIRRE.pdf
2008," Estudio de evaluación del impacto de la aplicación de la NOM-040.SEMARNAT-2002, protección ambiental fabricación de cemento hidráulico-niveles máximos permisibles de emisión a la atmósfera  ","Especialistas Ambientales, S.A. de C.V.","$253,000.00",Dirección General de Industria,https://www.semarnat.gob.mx/archivosanteriores/transparencia/Documents/Informe%20Evaluaci%C3%B3n%20de%20Impacto%20de%20la%20NOM-040.pdf
2009, Asesoría para la implementación de la evaluación ambiental estratégica en un programa piloto del sector eléctrico federal.,"Santalo Estudios y Proyectos, S.A. de C.V.","$375,446.25",Dirección General de Política Ambiental e Integración Regional y Sectorial,https://www.semarnat.gob.mx/archivosanteriores/transparencia/Documents/Asesoria%20Evaluacion%20ambiental%20pp.pdf
2009, Estudio para analizar las implicaciones entre economía y ambiente respecto del establecimiento de patrones para la producción y el consumo sustentable,"Prode, S.A. de C.V.","$215,000.00",Dirección General de Industria,https://www.semarnat.gob.mx/archivosanteriores/transparencia/Documents/Estudio%20para%20analizar%20las%20implicaciones%20entre%20econom%C3%ADa%20y%20ambiente%20PYCS.pdf
2010," Asesoría Legal y Administrativa para la Gestión del Portafolios de Proyectos en Materia de Calidad del Aire incluidos en el PEF 2010, Ramo 16 Anexo 34",Edna Martha Servín Palencia,"$255,000.00",Dirección General de Gestión de la Calidad del Aire y RETC,https://www.semarnat.gob.mx/archivosanteriores/transparencia/Documents/Asesoria%20Legal%20para%20la%20Gestion.pdf
2010," Asesoría para el ""Proyecto de estrategia de comunicación rumbo a la COP16"". ",Brenda Barrios Fernández Mendizábal,"$20,000.00",Centro de Educación y Capacitación para el Desarrollo Sustentable,https://www.semarnat.gob.mx/archivosanteriores/transparencia/Documents/informe%20estrategia%20de%20comunicaci%C3%B3n%20rumbo%20a%20la%20cop%2016.pdf
2010, Asesoría para la atención oportuna de trámites en materia forestal y vida silvestre de la Delegación en Puebla,Benemérita Universidad Autónoma de Puebla,"$123,750.00",Delegación Federal Puebla,https://www.semarnat.gob.mx/archivosanteriores/transparencia/Documents/INFORME%20FINAL%202010-ASESOR%C3%8DAS.pdf
2010, Asesoría para la elaboración de contenidos para la antología básica para el manejo de propuestas de educación ambiental para la sustentabilidad en educación básica.,Claudia Hernández Fernández,"$100,000.00",Centro de Educación y Capacitación para el Desarrollo Sustentable,https://www.semarnat.gob.mx/archivosanteriores/transparencia/Documents/antologia-versionfinal.pdf
2010, Asesoría para la elaboración de la propuesta del Modelo de Gestión Ambiental Escolar para instituciones de educación básica. ,Margarita Hurtado Badiola,"$50,000.00",Centro de Educación y Capacitación para el Desarrollo Sustentable,https://www.semarnat.gob.mx/archivosanteriores/transparencia/Documents/MODELO%20DE%20GESTI%C3%93N%20AMBIENTAL%20ESCOLAR.pdf
2010, Asesoría para la organización del Premio al Merito Ecológico ,Brenda Barrios Fernández Mendizábal,"$80,000.00",Centro de Educación y Capacitación para el Desarrollo Sustentable,https://www.semarnat.gob.mx/archivosanteriores/transparencia/Documents/informe%20final%20pme%202010%20BBFM.pdf
2010, Asesoría Técnica para la Gestión del Portafolios de Proyectos en Materia de Calidad del Aire incluidos en el PEF 2010. ,Valentín Vázquez Guzmán,"$359,000.00",Dirección General de Gestión de la Calidad del Aire y RETC,https://www.semarnat.gob.mx/archivosanteriores/transparencia/Documents/Asesoria%20Tecnica%20Portafolio%20de%20Proyectos.pdf
2010," Consultoría para la coordinación de las acciones de fortalecimiento gestivo de los pueblos indígenas en San Pedro Soteapan, Municipio emblemático para la estrategia 100x100",Jorge Alejandro Chong Martínez,"$297,000.00",Unidad Coordinadora de Participación Social y Transparencia,https://www.semarnat.gob.mx/archivosanteriores/transparencia/Documents/INFORME%20FINAL%20Soteapan-UCPAST.pdf
2010, Desarrollo de elementos de análisis socioeconómico para la evaluación de los Proyectos de Ramo 16 en materia de residuos sólidos. ,"ESIPA, S.A. DE C.V.","$359,600.00",Dirección General de Fomento Ambiental Urbano y Turístico,https://www.semarnat.gob.mx/sites/default/files/documentos/transparencia/estudios/desarrollo_de_instrumentos_ramo16.pdf
2010," Desarrollo de instrumentos y capacidades para el seguimiento y supervisión de los Proyectos de Ramo 16 Anexo 34, Región Sur, en materia de residuos sólidos urbanos y de manejo especial. ","Construcción y Abastecimiento LK, S.A. DE C.V.","$359,600.00",Dirección General de Fomento Ambiental Urbano y Turístico,https://www.semarnat.gob.mx/sites/default/files/documentos/transparencia/estudios/desarrollo_de_instrumentos_sur.pdf
2011, Manifestación de impacto regulatorio del proyecto de acuerdo por el que se determinan los centros de origen y diversidad genética del maíz en territorio nacional,Laura Saad Alvarado,"$250,000.00",Dirección General del Sector Primario y Recursos Naturales Renovables,https://www.semarnat.gob.mx/archivosanteriores/transparencia/Documents/40978_2012_MIR_ACUERDO_COyDG_MAIZ_FINAL.pdf
2011, Sumario de la información generada del proyecto de conservación de maíces nativos operado por Conanp durante 2010 ,Roger Iván Díaz Gallardo,"$250,000.00",Dirección General del Sector Primario y Recursos Naturales Renovables,https://www.semarnat.gob.mx/archivosanteriores/transparencia/Documents/Conservacion%20de%20maices%20nativos.pdf
2011,"Asesoría para la instrumentación de la observancia nacional de la normatividad y de fomento con los estados que requieran la verificación vehicular obligatoria (VVO), zona occidente, oriente/sur, sureste del país","Corporativo Comercial de Servicios MZX, S.C.","$318,000.00",Dirección General de Fomento Ambiental Urbano y Turístico,https://www.semarnat.gob.mx/sites/default/files/documentos/transparencia/estudios/reporte_taller_oaxaca.pdf
2011,Evaluación de Capacidades Institucionales y Protocolo para la Integración de un Sistema Nacional para el Monitoreo Oceanográfico y Meteorológico Marino ,Universidad Autónoma de Baja California,"$250,000.00",Dirección General de Política Ambiental e Integración Regional y Sectorial,https://www.semarnat.gob.mx/archivosanteriores/transparencia/Documents/Integr%20Datos%20Oceanogr%C3%A1ficos%20Nacionales.pdf
2012,Actualización de la guía para la importación y exportación de residuos en México.,"Gestión Integral Ambiental y peritajes, S.A. de C.V.","$313,000.00",Dirección General de gestión Integral de Materiales y Actividades Riesgosas,https://www.semarnat.gob.mx/archivosanteriores/transparencia/Documents/INFORME_FINAL%20GU%C3%8DA%20DE%20IMPORTACI%C3%93N%20Y%20EXPORTACI%C3%93N.pdf
