AÑO,USO_CONSUNTIVO,VOLUMEN_(HECTOMETROS_CUBICOS)
2001,Agropecuario,56483
2001,Abastecimiento publico,9562
2001,Industria,6619
2002,Agropecuario,56070
2002,Abastecimiento publico,9633
2002,Industria,6940
2003,Agropecuario,56900
2003,Abastecimiento publico,10481
2003,Industria,7307
2004,Agropecuario,57462
2004,Abastecimiento publico,10670
2004,Industria,7298
2005,Agropecuario,58721
2005,Abastecimiento publico,10703
2005,Industria,7083
2006,Agropecuario,59396
2006,Abastecimiento publico,10740
2006,Industria,7180
2007,Agropecuario,60571
2007,Abastecimiento publico,11158
2007,Industria,7219
2008,Agropecuario,61212
2008,Abastecimiento publico,11197
2008,Industria,7344
2009,Agropecuario,61794
2009,Abastecimiento publico,11395
2009,Industria,7398
2010,Agropecuario,61490
2010,Abastecimiento publico,11443
2010,Industria,7280
2011,Agropecuario,62096
2011,Abastecimiento publico,12180
2011,Industria,7313
2012,Agropecuario,63350
2012,Abastecimiento publico,11981
2012,Industria,7403
2013,Agropecuario,61822
2013,Abastecimiento publico,11962
2013,Industria,7867
2014,Agropecuario,65155
2014,Abastecimiento publico,12052
2014,Industria,7722
2015,Agropecuario,65356
2015,Abastecimiento publico,12478
2015,Industria,7824
2016,Agropecuario,66322
2016,Abastecimiento publico,12577
2016,Industria,7951
2017,Agropecuario,66799
2017,Abastecimiento publico,12628
2017,Industria,8414
